trade_id,symbol,side,quantity,price,currency,trade_time,account_id
TRD001,AAPL,BUY,100,150.25,USD,2024-03-15 09:30:00,ACC001
TRD002,TSLA,SELL,50,245.8,USD,2024-03-15 09:31:15,ACC002
TRD003,GOOGL,BUY,75,140.5,USD,2024-03-15 09:32:30,ACC001
TRD004,MSFT,BUY,200,380.0,USD,2024-03-15 09:33:45,ACC003
TRD005,AMZN,SELL,125,178.9,USD,2024-03-15 09:35:00,ACC002
TRD006,NVDA,BUY,150,875.5,USD,2024-03-15 09:36:20,ACC001
TRD007,META,SELL,80,485.25,USD,2024-03-15 09:37:30,ACC004
TRD008,NFLX,BUY,60,620.75,USD,2024-03-15 09:38:45,ACC003
TRD009,AMD,BUY,300,182.5,USD,2024-03-15 09:40:00,ACC002
TRD010,INTC,BUY,250,45.6,USD,2024-03-15 09:41:15,ACC001
TRD011,ORCL,BUY,180,115.4,USD,2024-03-15 09:42:30,ACC004
TRD012,CRM,SELL,90,285.9,USD,2024-03-15 09:43:50,ACC003
TRD013,PYPL,BUY,200,68.5,USD,2024-03-15 09:45:00,ACC002
TRD014,ADBE,SELL,70,595.3,USD,2024-03-15 09:46:15,ACC001
TRD015,CSCO,BUY,400,52.8,USD,2024-03-15 09:47:30,ACC004
TRD016,QCOM,BUY,150,145.6,USD,2024-03-15 09:48:45,ACC003
TRD017,TXN,SELL,110,175.9,USD,2024-03-15 09:50:00,ACC002
TRD018,AVGO,BUY,45,1250.75,USD,2024-03-15 09:51:15,ACC001
TRD021,JPM,BUY,200,195.4,USD,2024-03-15 09:54:00,ACC002
TRD022,GS,SELL,85,445.6,USD,2024-03-15 09:55:15,ACC001
